STR_ESID;STN_LABEL;ZIP_LABEL;COM_FOSNR;COM_NAME;COM_CANTON;STR_TYPE;STR_STATUS;STR_OFFICIAL;STR_MODIFIED;STR_EASTING;STR_NORTHING
10221864;Chemin de Bondex;1298 Céligny;6610;Céligny;GE;Street;real;true;27.09.2023;2503290;1134698
10221553;Passage de Monetier;1204 Genève;6621;Genève;GE;Street;real;true;27.09.2023;2500412;1117543
10222108;Chemin des Bracots;1247 Anières;6602;Anières;GE;Street;real;true;27.09.2023;2507280;1125629
10205033;Schwendihalden;9411 Schachen b. Reute;3035;Reute (AR);AR;Street;real;true;27.09.2023;2760965;1254856
10093657;Eichbergerstrasse;9450 Altstätten SG, 9452 Hinterforst;3251;Altstätten;SG;Street;real;true;27.09.2023;2758251;1246548
10032011;Eichbergstrasse;9452 Hinterforst, 9453 Eichberg;3252;Eichberg;SG;Street;real;true;27.09.2023;2758283;1246041
10083740;Rue des Moraines;1227 Carouge GE;6608;Carouge (GE);GE;Street;real;true;02.05.2024;2499979;1115405
10049105;Chemin du Soleil;1246 Corsier GE;6619;Corsier (GE);GE;Street;real;true;20.04.2024;2506734;1123852
10049029;Chemin des Briffods;1244 Choulex;6614;Choulex;GE;Street;real;true;20.04.2024;2506279;1120122
10096050;Chemin du Martelet;1252 Meinier;6629;Meinier;GE;Street;real;true;20.04.2024;2506978;1122252
10083568;Rue des Boucheries;1290 Versoix;6644;Versoix;GE;Street;real;true;20.04.2024;2502132;1125829
10235339;Place du 700e;1254 Jussy;6626;Jussy;GE;Place;real;true;27.09.2023;2508855;1120388
10236165;Pont de l'Aire;1232 Confignon;6618;Confignon;GE;Street;real;true;27.09.2023;2496019;1114203
10243521;Senté da Mèzz;6967 Dino;5192;Lugano;TI;Street;real;true;16.04.2024;2719078;1100969
10127793;Via Carzo;6900 Paradiso;5192;Lugano;TI;Street;real;true;16.04.2024;2716419;1094056
10174104;Route de Romont;1690 Lussy FR, 1690 Villaz-St-Pierre;2117;Villaz;FR;Street;real;true;26.09.2023;2562773;1173577
10133502;Chemin de la Gissetta;1625 Sâles (Gruyère);2152;Sâles;FR;Street;real;true;26.09.2023;2562717;1161612
10243543;Sentiero Cerim;6979 Brè sopra Lugano;5192;Lugano;TI;Street;real;true;16.04.2024;2721065;1096842
10128787;Route de la Chapelle;1541 Sévaz;2043;Sévaz;FR;Street;real;true;26.09.2023;2556546;1187838
